time, room, humidity, temp_celcius, temp_fahrenheit, temp_index_celcius, temp_index_fahrenheit
2023:01:12 07:51:18, living, 64.0, 19.4, 66.92, 19.07, 66.32
2023:01:12 08:01:19, living, 64.0, 19.4, 66.92, 19.07, 66.32
2023:01:12 08:11:19, living, 64.0, 19.6, 67.28, 19.29, 66.72
2023:01:12 08:21:19, living, 62.0, 19.8, 67.64, 19.45, 67.02
2023:01:12 08:31:20, living, 63.0, 19.8, 67.64, 19.48, 67.07
2023:01:12 08:41:20, living, 63.0, 19.6, 67.28, 19.26, 66.67
2023:01:12 08:51:20, living, 64.0, 19.4, 66.92, 19.07, 66.32
2023:01:12 09:01:21, living, 64.0, 19.3, 66.74, 18.96, 66.12
2023:01:12 09:11:21, living, 64.0, 19.2, 66.56, 18.85, 65.92
2023:01:12 09:21:21, living, 65.0, 19.1, 66.38, 18.76, 65.77
2023:01:12 09:31:21, living, 65.0, 19.1, 66.38, 18.76, 65.77
2023:01:12 09:41:22, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 09:51:22, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 10:01:22, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 10:11:23, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 10:21:23, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 10:31:23, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 10:41:23, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 10:51:24, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 11:01:24, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 11:11:24, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 11:21:25, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 11:31:25, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 11:41:25, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 11:51:25, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 12:01:26, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 12:11:26, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 12:21:26, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 12:31:27, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 12:41:27, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 12:51:28, living, 65.0, 19.0, 66.2, 18.65, 65.57
2023:01:12 13:01:28, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 13:11:28, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 13:21:29, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 13:31:29, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 13:41:30, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 13:51:30, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 14:01:31, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 14:11:31, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 14:21:31, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 14:31:32, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 14:41:32, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 14:51:32, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 15:01:33, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 15:11:33, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 15:21:34, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 15:31:34, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 15:41:34, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 15:51:35, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 16:01:35, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 16:11:35, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 16:21:36, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 16:31:36, living, 65.0, 18.9, 66.02, 18.54, 65.38
2023:01:12 16:41:37, living, 65.0, 18.9, 66.02, 18.54, 65.38
